Date,Open,High,Low,Close,Volume,OpenInterest
1627358400,439.91,439.94,435.99,439,61032234,0
1627444800,439.68,440.3,437.31,438.84,47642330,0
1627531200,439.83,441.8,439.81,440.67,40930880,0
1627617600,437.91,440.06,437.77,438.49,56594282,0
1627876800,440.34,440.93,437.21,437.58,54098311,0
1627963200,438.44,441.28,436.1,441.12,52043386,0
1628049600,439.77,441.1243,438.73,439.01,40289514,0
1628136000,440.22,441.85,439.88,441.77,34903127,0
1628222400,442.1,442.94,441.8,442.52,40274051,0
1628481600,442.45,442.795,441.31,442.14,32740524,0
1628568000,442.61,443.44,441.88,442.66,39129442,0
1628654400,443.8,443.882,442.62,443.74,35841235,0
1628740800,443.62,445.2572,442.66,445.08,34892086,0
1628827200,445.59,445.93,445.07,445.9,32338962,0
1629086400,444.54,447.11,442.87,447.02,52706914,0
1629172800,444.24,444.96,440.85,444.06,84161406,0
1629259200,442.96,444.625,438.92,439.21,70093163,0
1629345600,436.27,441.14,436.12,439.84,84838725,0
1629432000,440.23,443.71,439.71,443.33,63120064,0
1629691200,445.16,448.23,443.4355,447.26,49349485,0
1629777600,447.97,448.54,447.42,447.95,33180117,0
1629864000,448.17,449.457,447.77,448.88,35262175,0
1629950400,448.61,448.86,446.16,446.27,53455704,0
1630036800,447.12,450.65,447.06,450.19,54848833,0
1630296000,450.99,453.07,450.71,452.22,41870839,0
1630382400,452.13,452.49,450.92,451.61,48724399,0
1630468800,452.58,453.11,451.545,451.81,42568610,0
1630555200,453.32,454.05,451.91,453.195,39220785,0
1630641600,451.98,453.63,451.55,453.06,37843082,0
1630987200,452.71,452.81,450.7423,451.52,46091753,0
1631073600,450.89,451.67,448.86,450.96,50695626,0
1631160000,450.7,452.57,448.72,448.94,51603442,0
1631246400,451.04,451.49,445.31,445.5,75763259,0
1631505600,448.65,448.92,444.11,446.56,75103627,0
1631592000,448.12,448.34,443.22,444.18,67959711,0
1631678400,444.62,448.41,443.44,447.87,69265024,0
1631764800,447.32,448.36,444.02,447.14,69354318,0
1631851200,444.92,445.37,441.02,441.41,100861596,0
1632110400,434.88,436.56,428.86,434.07,149948277,0
1632196800,436.53,437.91,433.07,433.67,82418070,0
1632283200,436.05,440.03,433.747,437.83,91135278,0
1632369600,439.84,444.89,439.6,443.13,67408294,0
1632456000,441.44,444.67,441.21,443.92,52199034,0
1632715200,442.81,444.05,441.9,442.68,51611925,0
1632801600,439.69,440.04,432.94,433.74,114959576,0
1632888000,435.19,437.04,433.85,434.44,69828191,0
1632974400,436.02,436.77,428.78,429.17,115315276,0
1633060800,430.98,436.0329,427.24,434.19,110774792,0
1633320000,433,433.96,426.36,428.69,112134374,0
1633406400,430.24,435.49,429.39,433.05,82381830,0
1633492800,429.27,435.1199,427.54,434.92,99477866,0
1633579200,438.39,441.68,438.2,438.64,64139858,0
1633665600,439.48,439.89,437.19,437.82,57510090,0
1633924800,437.16,440.26,434.62,434.67,54993389,0
1634011200,435.67,436.1,432.78,433.63,61078594,0
1634097600,434.71,436.05,431.54,435.13,63943229,0
1634184000,439.08,442.66,438.58,442.47,59812568,0
1634270400,444.76,446.26,444.09,445.83,55980388,0
1634529600,443.97,447.55,443.27,447.22,51994387,0
1634616000,448.92,450.7,448.27,450.68,40790864,0
1634702400,451.13,452.732,451.01,452.39,41594298,0
1634788800,451.76,453.829,451.31,453.61,33945007,0
1634875200,453.13,454.67,451.05,453.13,50771701,0
1635134400,454.28,455.9,452.39,455.48,37918548,0
1635220800,457.2,458.49,455.56,455.97,49865704,0
1635307200,456.45,457.16,453.86,453.92,48219255,0
1635393600,455.46,458.4,455.45,458.27,43081788,0
1635480000,455.87,459.56,455.56,459.22,58813207,0
1635739200,460.3,460.7021,458.2,460.08,41362369,0
1635825600,460.21,462.23,460.08,461.87,41914839,0
1635912000,461.3,465.15,460.83,464.73,44736952,0
1635998400,465.36,467,464.99,466.86,45729874,0
1636084800,469.28,470.65,466.92,468.49,56119290,0
1636347600,469.7,470.23,468.2031,468.97,38945705,0
1636434000,469.32,469.57,465.88,467.38,47198095,0
1636520400,465.58,467.38,462.04,463.63,63500032,0
1636606800,465.21,465.29,463.75,463.81,31757893,0
1636693200,465.12,467.86,464.11,467.26,44677612,0
1636952400,468.64,468.81,466.23,467.39,39813913,0
1637038800,467.16,470.485,467.07,469.24,41723421,0
1637125200,469,469.19,467.48,468.11,40088372,0
1637211600,469.24,470.01,466.34,469.71,45100029,0
1637298000,469.61,470.94,468.5,468.91,49009452,0
1637557200,470.81,473.54,467.35,467.53,61497941,0
1637643600,467.22,469.095,464.45,468.25,62851184,0
1637730000,466.06,469.57,465.19,469.37,54274217,0
1637902800,462.38,463.9,457.77,459.03,93783057,0
1638162000,464.07,466.56,461.73,464.63,68239627,0
1638248400,462,464.03,455.3,455.78,126381409,0
1638334800,461.64,464.67,450.29,450.53,112177764,0
1638421200,450.72,459.07,450.31,457.38,109873511,0
1638507600,459.17,460.3,448.92,453.43,124795750,0
1638766800,456.14,460.79,453.56,458.78,88930961,0
1638853200,464.41,468.88,458.6546,468.24,79124909,0
1638939600,468.7,470,466.83,469.54,62917411,0
1639026000,468.15,469.6291,466.14,466.34,54963509,0
1639112400,469.23,470.9,466.51,470.72,64958435,0
1639371600,470.19,470.56,466.27,466.61,53533452,0
1639458000,463.05,465.74,460.25,463.39,84376354,0
1639544400,463.42,465.58,460.74,464.58,50938337,0
